lat,lon,weight
22.50000000,12.50000000,37606.858840
22.50000000,17.50000000,41050.150323
22.50000000,22.50000000,49256.595827
22.50000000,27.50000000,2681.469805
22.50000000,32.50000000,1755095.582638
22.50000000,37.50000000,8570162.286092
22.50000000,42.50000000,2449905.946254
22.50000000,47.50000000,8568917.101465
22.50000000,52.50000000,2467810.958894
22.50000000,57.50000000,7175323.809854
22.50000000,67.50000000,29492333.100478
22.50000000,72.50000000,101860715.919620
22.50000000,77.50000000,83342982.366432
22.50000000,82.50000000,90129229.998890
22.50000000,87.50000000,193149121.233301
22.50000000,92.50000000,119394785.485456
22.50000000,97.50000000,23087308.338613
22.50000000,102.50000000,24546244.374482
22.50000000,107.50000000,68257365.708001
22.50000000,112.50000000,127785621.344528
22.50000000,117.50000000,38827902.906966
22.50000000,122.50000000,16751206.330795
22.50000000,127.50000000,52137.161613
22.50000000,142.50000000,2723.726308
27.50000000,-117.50000000,3215.739803
27.50000000,-112.50000000,1464820.750591
27.50000000,-107.50000000,4245412.414764
27.50000000,-102.50000000,9709080.791109
27.50000000,-97.50000000,13509390.036349
27.50000000,-92.50000000,1383109.288355
27.50000000,-87.50000000,88769.702907
27.50000000,-82.50000000,22006610.870213
27.50000000,-77.50000000,372665.180531
27.50000000,-17.50000000,1949005.288679
27.50000000,-12.50000000,600541.532859
27.50000000,-7.50000000,825243.928115
27.50000000,-2.50000000,331387.423423
27.50000000,2.50000000,306196.755770
27.50000000,7.50000000,49398.242030
27.50000000,12.50000000,448301.415980
27.50000000,17.50000000,78452.095259
27.50000000,22.50000000,82903.029449
27.50000000,27.50000000,253110.903109
27.50000000,32.50000000,42796001.246811
27.50000000,37.50000000,1271767.684820
27.50000000,42.50000000,2633031.188601
27.50000000,47.50000000,8343308.751241
27.50000000,52.50000000,13582659.283850
27.50000000,57.50000000,10245305.551089
27.50000000,62.50000000,4713798.692136
27.50000000,67.50000000,39284824.103112
27.50000000,72.50000000,61843443.739950
27.50000000,77.50000000,195538967.653397
27.50000000,82.50000000,194712638.071896
27.50000000,87.50000000,145826342.710853
27.50000000,92.50000000,42766951.375544
27.50000000,97.50000000,9084095.664231
27.50000000,102.50000000,45141848.862978
27.50000000,107.50000000,71070720.928782
27.50000000,112.50000000,83631091.287051
27.50000000,117.50000000,68460643.731955
27.50000000,122.50000000,37844557.314884
27.50000000,127.50000000,1439193.862523
27.50000000,132.50000000,3235.573455
27.50000000,142.50000000,211.598968
32.50000000,-122.50000000,269616.115671
32.50000000,-117.50000000,28425811.253363
32.50000000,-112.50000000,9740981.457254
32.50000000,-107.50000000,3375582.674763
32.50000000,-102.50000000,1453959.746303
32.50000000,-97.50000000,15846901.710258
32.50000000,-92.50000000,6734132.624395
32.50000000,-87.50000000,8864372.593414
32.50000000,-82.50000000,16962760.884744
32.50000000,-77.50000000,2144492.793149
32.50000000,-62.50000000,64601.000289
32.50000000,-17.50000000,252806.661289
32.50000000,-7.50000000,29067399.434431
32.50000000,-2.50000000,7638672.526222
32.50000000,2.50000000,3233510.425596
32.50000000,7.50000000,3952223.308316
32.50000000,12.50000000,6065618.400258
32.50000000,17.50000000,529860.874288
32.50000000,22.50000000,1954026.344173
32.50000000,27.50000000,5513428.364984
32.50000000,32.50000000,75909346.614748
32.50000000,37.50000000,34210769.475791
32.50000000,42.50000000,23548440.385095
32.50000000,47.50000000,23671773.570378
32.50000000,52.50000000,11893035.067307
32.50000000,57.50000000,2681643.408096
32.50000000,62.50000000,7383251.678601
32.50000000,67.50000000,26318538.062318
32.50000000,72.50000000,173000019.931895
32.50000000,77.50000000,47077431.761940
32.50000000,82.50000000,156287.462400
32.50000000,87.50000000,94589.142387
32.50000000,92.50000000,548763.820375
32.50000000,97.50000000,1484185.147748
32.50000000,102.50000000,35272427.593755
32.50000000,107.50000000,70135382.261366
32.50000000,112.50000000,111769031.525675
32.50000000,117.50000000,140741346.105763
32.50000000,122.50000000,81780403.720932
32.50000000,127.50000000,3795277.650853
32.50000000,132.50000000,22384272.415061
32.50000000,137.50000000,21670439.613929
37.50000000,-122.50000000,15650212.839865
37.50000000,-117.50000000,6313799.362694
37.50000000,-112.50000000,1000864.956724
37.50000000,-107.50000000,3088460.413086
37.50000000,-102.50000000,3280488.072421
37.50000000,-97.50000000,4811706.775259
37.50000000,-92.50000000,9509784.385538
37.50000000,-87.50000000,12243126.892791
37.50000000,-82.50000000,15686310.844253
37.50000000,-77.50000000,25576854.333409
37.50000000,-72.50000000,1111165.187011
37.50000000,-32.50000000,3836.055450
37.50000000,-27.50000000,234560.409347
37.50000000,-7.50000000,11512096.585995
37.50000000,-2.50000000,17272439.052330
37.50000000,2.50000000,22317100.732953
37.50000000,7.50000000,17415114.120444
37.50000000,12.50000000,10249336.887460
37.50000000,17.50000000,3637690.682406
37.50000000,22.50000000,6678590.297872
37.50000000,27.50000000,12456821.830217
37.50000000,32.50000000,17298516.881479
37.50000000,37.50000000,26866888.335936
37.50000000,42.50000000,22986823.755126
37.50000000,47.50000000,19573259.391995
37.50000000,52.50000000,26170726.237318
37.50000000,57.50000000,10297208.603755
37.50000000,62.50000000,6833213.526110
37.50000000,67.50000000,26285933.981856
37.50000000,72.50000000,6615619.014762
37.50000000,77.50000000,7417389.396513
37.50000000,82.50000000,837338.910907
37.50000000,87.50000000,112279.690035
37.50000000,92.50000000,260968.447601
37.50000000,97.50000000,1370094.841776
37.50000000,102.50000000,16898706.388463
37.50000000,107.50000000,19770877.438593
37.50000000,112.50000000,76280222.764881
37.50000000,117.50000000,147611551.139385
37.50000000,122.50000000,26186041.631670
37.50000000,127.50000000,66930571.473742
37.50000000,132.50000000,1532018.345565
37.50000000,137.50000000,55767917.244713
37.50000000,142.50000000,12571319.363011
42.50000000,-122.50000000,2461763.545770
42.50000000,-117.50000000,1025748.690255
42.50000000,-112.50000000,3439987.247916
42.50000000,-107.50000000,988305.095613
42.50000000,-102.50000000,890795.878137
42.50000000,-97.50000000,2719348.655054
42.50000000,-92.50000000,6880649.686549
