satellite_id,plane,slot,samples,sunlit_samples,sunlit_ratio_pct
456,20,16,1441,1017,70.57598889659958
457,20,17,1441,1018,70.64538514920194
458,20,18,1441,1011,70.15961138098542
459,20,19,1441,1003,69.60444136016655
460,20,20,1441,994,68.97987508674531
461,20,21,1441,984,68.28591256072173
462,21,0,1441,997,69.18806384455239
463,21,1,1441,988,68.56349757113117
464,21,2,1441,983,68.21651630811937
465,21,3,1441,982,68.14712005551701
466,21,4,1441,981,68.07772380291465
467,21,5,1441,982,68.14712005551701
468,21,6,1441,981,68.07772380291465
469,21,7,1441,983,68.21651630811937
470,21,8,1441,992,68.84108258154059
471,21,9,1441,1001,69.46564885496183
472,21,10,1441,1010,70.09021512838306
473,21,11,1441,1019,70.7147814018043
474,21,12,1441,1028,71.33934767522554
475,21,13,1441,1036,71.89451769604442
476,21,14,1441,1039,72.1027064538515
477,21,15,1441,1039,72.1027064538515
478,21,16,1441,1038,72.03331020124914
479,21,17,1441,1038,72.03331020124914
480,21,18,1441,1030,71.47814018043026
481,21,19,1441,1021,70.85357390700902
482,21,20,1441,1013,70.29840388619014
483,21,21,1441,1006,69.81263011797363
484,22,0,1441,1024,71.0617626648161
485,22,1,1441,1014,70.3678001387925
486,22,2,1441,1012,70.22900763358778
487,22,3,1441,1013,70.29840388619014
488,22,4,1441,1013,70.29840388619014
489,22,5,1441,1012,70.22900763358778
490,22,6,1441,1013,70.29840388619014
491,22,7,1441,1014,70.3678001387925
492,22,8,1441,1022,70.92297015961138
493,22,9,1441,1032,71.61693268563498
494,22,10,1441,1040,72.17210270645386
495,22,11,1441,1049,72.7966689798751
496,22,12,1441,1059,73.49063150589868
497,22,13,1441,1067,74.04580152671755
498,22,14,1441,1066,73.9764052741152
499,22,15,1441,1067,74.04580152671755
500,22,16,1441,1067,74.04580152671755
501,22,17,1441,1066,73.9764052741152
502,22,18,1441,1057,73.35183900069396
503,22,19,1441,1049,72.7966689798751
504,22,20,1441,1039,72.1027064538515
505,22,21,1441,1031,71.54753643303262
506,23,0,1441,1059,73.49063150589868
507,23,1,1441,1052,73.00485773768216
508,23,2,1441,1052,73.00485773768216
509,23,3,1441,1053,73.07425399028452
510,23,4,1441,1052,73.00485773768216
511,23,5,1441,1052,73.00485773768216
512,23,6,1441,1052,73.00485773768216
513,23,7,1441,1055,73.21304649548924
514,23,8,1441,1064,73.83761276891047
515,23,9,1441,1073,74.46217904233171
516,23,10,1441,1082,75.08674531575295
517,23,11,1441,1090,75.64191533657183
518,23,12,1441,1099,76.26648160999306
519,23,13,1441,1102,76.47467036780014
520,23,14,1441,1101,76.40527411519778
521,23,15,1441,1101,76.40527411519778
522,23,16,1441,1101,76.40527411519778
523,23,17,1441,1101,76.40527411519778
524,23,18,1441,1092,75.78070784177655
525,23,19,1441,1085,75.29493407356003
526,23,20,1441,1076,74.67036780013879
527,23,21,1441,1066,73.9764052741152
528,24,0,1441,1108,76.8910478834143
529,24,1,1441,1107,76.82165163081194
530,24,2,1441,1109,76.96044413601666
531,24,3,1441,1108,76.8910478834143
532,24,4,1441,1108,76.8910478834143
533,24,5,1441,1108,76.8910478834143
534,24,6,1441,1108,76.8910478834143
535,24,7,1441,1109,76.96044413601666
536,24,8,1441,1118,77.58501040943788
537,24,9,1441,1126,78.14018043025676
538,24,10,1441,1136,78.83414295628036
539,24,11,1441,1144,79.38931297709924
540,24,12,1441,1150,79.8056904927134
541,24,13,1441,1149,79.73629424011104
542,24,14,1441,1150,79.8056904927134
543,24,15,1441,1149,79.73629424011104
544,24,16,1441,1149,79.73629424011104
545,24,17,1441,1149,79.73629424011104
546,24,18,1441,1141,79.18112421929216
547,24,19,1441,1131,78.48716169326856
548,24,20,1441,1124,78.00138792505204
549,24,21,1441,1115,77.3768216516308
550,25,0,1441,1188,82.44274809160305
551,25,1,1441,1187,82.37335183900069
552,25,2,1441,1187,82.37335183900069
553,25,3,1441,1186,82.30395558639833
554,25,4,1441,1188,82.44274809160305
555,25,5,1441,1188,82.44274809160305
556,25,6,1441,1187,82.37335183900069
557,25,7,1441,1188,82.44274809160305
558,25,8,1441,1197,83.06731436502429
559,25,9,1441,1206,83.69188063844553
560,25,10,1441,1214,84.2470506592644
561,25,11,1441,1218,84.52463566967384
562,25,12,1441,1219,84.5940319222762
